"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","苗栗縣卓蘭鎮","新厝里","671","1894","981","913",224,211,211,161,222,218,123,111,42,62,822,763
"10309","苗栗縣卓蘭鎮","新榮里","481","1397","726","671",150,151,153,127,155,156,103,91,30,27,591,552
"10309","苗栗縣卓蘭鎮","景山里","340","1147","587","560",112,152,132,113,114,83,60,62,26,29,444,439
"10309","苗栗縣卓蘭鎮","老庄里","886","2506","1281","1225",259,293,252,197,307,299,185,162,53,76,1056,1027
"10309","苗栗縣卓蘭鎮","苗豐里","306","918","502","416",123,91,92,77,130,116,55,49,24,19,424,352
"10309","苗栗縣卓蘭鎮","西坪里","320","909","470","439",86,102,103,74,122,103,53,46,20,30,384,355
"10309","苗栗縣卓蘭鎮","豐田里","413","1286","701","585",158,134,136,102,160,129,85,71,22,39,561,475
"10309","苗栗縣大湖鄉","南湖村","286","805","442","363",99,77,93,64,120,89,46,43,17,33,375,306
"10309","苗栗縣大湖鄉","大南村","276","675","380","295",52,66,103,48,97,51,48,63,21,24,321,252
"10309","苗栗縣大湖鄉","大寮村","515","1517","794","723",161,157,160,145,194,138,105,102,32,50,652,592
"10309","苗栗縣大湖鄉","大湖村","719","1985","1042","943",235,198,210,162,225,210,126,139,53,62,849,771
"10309","苗栗縣大湖鄉","富興村","588","1700","873","827",188,178,163,155,222,177,98,111,53,59,724,680
"10309","苗栗縣大湖鄉","新開村","462","1270","704","566",156,135,155,106,141,107,91,70,44,39,587,457
"10309","苗栗縣大湖鄉","明湖村","280","794","397","397",84,98,71,71,103,88,55,54,23,28,336,339
"10309","苗栗縣大湖鄉","東興村","305","908","510","398",86,71,125,79,121,83,70,63,21,29,423,325
"10309","苗栗縣大湖鄉","栗林村","442","1229","672","557",123,110,156,103,160,97,85,82,37,47,561,439
"10309","苗栗縣大湖鄉","武榮村","195","571","325","246",73,50,59,43,91,58,41,37,17,24,281,212
"10309","苗栗縣大湖鄉","義和村","603","1885","990","895",187,193,225,187,235,168,114,106,30,53,791,707
"10309","苗栗縣大湖鄉","靜湖村","764","2219","1119","1100",277,238,220,223,246,244,111,131,44,64,898,900
"10309","苗栗縣公館鄉","中義村","794","2841","1500","1341",360,334,294,270,325,266,161,134,41,61,1181,1065
"10309","苗栗縣公館鄉","五谷村","839","2719","1378","1341",315,340,320,283,295,264,124,140,45,56,1099,1083
"10309","苗栗縣公館鄉","仁安村","457","1545","841","704",170,162,172,141,206,136,106,85,33,53,687,577
"10309","苗栗縣公館鄉","北河村","151","401","229","172",35,35,57,35,57,32,39,28,10,19,198,149
"10309","苗栗縣公館鄉","南河村","108","265","147","118",24,26,34,16,41,27,19,20,11,8,129,97
"10309","苗栗縣公館鄉","大坑村","384","1183","630","553",117,119,127,96,148,115,96,75,37,43,525,448
